地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/03/25,21:54:21.5,長野県南部,35°55.9′N,137°38.8′E,8 km,3.1,震度３
2011/03/25,21:29:51.9,宮城県沖,38°52.7′N,141°58.1′E,50 km,4.0,震度３
2011/03/25,20:36:24.2,宮城県沖,38°43.7′N,142°06.4′E,45 km,6.3,震度４
2011/03/25,19:17:36.2,陸奥湾,41°09.0′N,140°52.2′E,12 km,3.4,震度２
2011/03/25,19:02:34.7,福島県浜通り,37°14.0′N,140°57.0′E,5 km,2.2,震度２
2011/03/25,17:37:27.3,福島県浜通り,37°04.9′N,140°46.0′E,8 km,3.4,震度３
2011/03/25,15:35:38.5,福島県浜通り,36°59.0′N,140°46.0′E,9 km,3.9,震度２
2011/03/25,13:11:28.4,宮城県沖,38°19.1′N,141°34.4′E,60 km,4.3,震度２
2011/03/25,11:36:13.0,福島県中通り,36°53.9′N,140°29.5′E,7 km,3.3,震度２
2011/03/25,11:00:59.8,宮城県沖,38°44.9′N,142°33.7′E,26 km,4.0,震度２
2011/03/25,09:48:55.3,福島県沖,37°16.5′N,141°37.9′E,45 km,4.0,震度２
2011/03/25,08:32:35.7,福島県浜通り,37°08.2′N,140°58.7′E,29 km,3.4,震度２
2011/03/25,08:12:18.7,茨城県北部,36°48.9′N,140°34.1′E,6 km,3.9,震度２
2011/03/25,04:44:45.7,宮城県沖,38°47.4′N,142°12.5′E,42 km,4.8,震度３
2011/03/25,03:16:47.1,福島県沖,36°51.7′N,141°07.3′E,49 km,4.3,震度３
2011/03/25,03:14:00.4,茨城県沖,36°15.5′N,140°50.6′E,37 km,4.1,震度２
2011/03/25,02:58:36.9,福島県浜通り,37°05.3′N,140°46.1′E,10 km,3.1,震度２
2011/03/25,02:08:29.7,茨城県北部,36°49.2′N,140°34.2′E,6 km,4.7,震度３
2011/03/25,01:42:15.2,宮城県沖,38°38.1′N,141°53.6′E,49 km,4.0,震度２
2011/03/25,01:40:49.1,福島県沖,36°54.4′N,141°05.4′E,49 km,4.0,震度２
2011/03/24,22:19:38.3,茨城県沖,36°47.3′N,141°02.7′E,50 km,3.9,震度２
2011/03/24,17:20:58.6,岩手県沖,39°04.6′N,142°21.4′E,34 km,6.2,震度５弱
2011/03/24,17:16:48.6,茨城県沖,36°13.6′N,140°55.5′E,47 km,3.7,震度２
2011/03/24,16:03:52.3,茨城県沖,36°12.6′N,141°47.8′E,74 km,4.9,震度２
2011/03/24,15:13:40.3,福島県沖,37°18.1′N,141°14.7′E,51 km,3.6,震度２
2011/03/24,14:03:38.8,茨城県北部,36°43.2′N,140°35.8′E,6 km,4.5,震度３
2011/03/24,13:56:08.3,宮城県沖,38°44.4′N,142°19.3′E,38 km,4.5,震度２
2011/03/24,12:58:07.4,三陸沖,38°36.1′N,142°55.5′E,38 km,5.2,震度２
2011/03/24,12:24:30.7,茨城県北部,36°46.8′N,140°33.7′E,7 km,3.7,震度２
2011/03/24,12:23:34.6,新潟県中越地方,36°56.0′N,138°36.6′E,3 km,2.2,震度２
2011/03/24,11:33:14.2,千葉県北東部,35°44.5′N,140°39.4′E,47 km,3.6,震度２
2011/03/24,08:56:49.4,茨城県南部,36°10.6′N,140°02.5′E,52 km,4.8,震度５弱
